eventID,bn_wt,zns_wt,x_um,y_um,depth_um,alpha_len_um,li7_len_um,edep_keV
190,50,50,6585.22,-9762.22,42.4061,4.16318,1.41475,2312.91
191,50,50,136.398,-9129.79,78.3835,4.16424,2.11346,2320.32
192,50,50,-7158.39,-6533.16,290.061,4.16395,2.02907,2427.57
193,50,50,-2427.28,2226.53,108.467,4.16351,1.94492,2315.94
194,50,50,-4279.94,-7757.6,106.337,4.16346,1.41512,2312.91
195,50,50,9479.15,4727.58,31.5439,4.164,1.41597,2312.91
196,50,50,488.715,-2419.38,32.1177,4.16321,1.41552,2574.2
197,50,50,-7429.61,0.674605,23.2543,4.1641,1.75419,2312.91
198,50,50,-1849.77,-8953.68,40.8623,4.16452,1.85964,2312.91
199,50,50,-1339.96,-963.886,19.4207,4.9971,2.26736,2790.12
200,50,50,-4369.98,6705.31,36.0211,4.16395,1.82426,2312.91
201,50,50,-9780.15,1856.52,13.9551,4.16378,2.37458,2588.7
202,50,50,-3024.38,-1040.69,15.2822,4.16351,2.02814,2312.74
203,50,50,4415.81,1092.38,14.1812,4.16405,1.74813,2312.91
204,50,50,4654.44,-3496.18,159.636,4.16361,1.41768,2314.71
205,50,50,1438.31,-3456.14,96.5918,4.16389,1.84183,2482.2
206,50,50,9354.82,8257.92,418.997,4.16367,2.06866,2314.21
207,50,50,-4332.09,6222,66.5312,4.16396,1.41846,2317.08
208,50,50,-48.4452,-6524.11,226.541,4.1634,1.83332,2317.92
209,50,50,-4575.21,-9056.23,35.1719,4.16419,2.3937,2599.44
210,50,50,-1976.7,3019.93,54.8306,4.16358,1.77545,2312.91
211,50,50,-1981.55,-8079.31,23.086,4.16377,1.41496,2358.2
212,50,50,7654.35,-4567.38,34.2436,4.16459,1.97191,2312.91
213,50,50,2952.51,-7284.73,5.53935,4.16426,2.09662,2312.91
214,50,50,-7498.24,-5315.32,80.5179,4.1638,2.22846,2319.89
215,50,50,6419.03,-5631.19,45.2816,4.16324,1.8229,2312.91
216,50,50,-6886.97,73.599,33.3857,4.16343,1.5892,2405.44
217,50,50,9561.56,-1474.06,43.7715,4.16343,1.41896,2318.34
218,50,50,-4904.43,576.088,13.0694,4.16397,1.78661,2316.59
219,50,50,2399.95,4305.24,191.456,4.16409,1.41574,2576.25
220,50,50,4436.53,9552.54,17.6471,4.16427,2.01753,2313.23
221,50,50,7242.25,-5071.79,138.665,4.16382,1.57036,2319.5
222,50,50,-893.27,805.982,350.144,4.16264,2.39167,2312.9
223,50,50,-6461.32,-4686.13,74.655,4.16368,1.41865,2317.52
224,50,50,3777.05,-4623.52,205.227,4.16335,1.70325,2312.91
225,50,50,3063.15,-3483.24,56.4111,4.16327,2.42103,2340.45
226,50,50,7366.71,-8522.88,21.5275,4.16416,2.29621,2311.76
227,50,50,4512.14,-5513.31,67.4934,4.16402,1.41725,2313.62
228,50,50,7669.26,2273.54,86.4019,4.99729,2.41844,2790.12
229,50,50,8001.84,-5692.37,72.2188,4.1632,1.86091,2312.9
230,50,50,1103.33,-7524.4,14.1249,4.16449,1.4143,2309.1
231,50,50,-705.118,1552.59,3.90096,4.16356,1.99826,2314.14
232,50,50,-4768.79,-1676.09,48.5937,4.99803,1.59761,2790.12
233,50,50,1269.57,-132.251,2.60973,4.16438,1.41718,2790.51
234,50,50,-6869.04,-7771.79,0.635693,4.16395,0.980763,2109.57
235,50,50,6897.98,-3318.09,32.5617,4.16328,2.06201,2424.78
236,50,50,-5499.21,7231.51,60.3628,4.16295,1.41438,2312.9
237,50,50,-9807.63,5898.41,7.087,4.16347,1.41575,2312.9
238,50,50,9583.15,-123.889,77.339,4.1644,1.41792,2381.05
239,50,50,287.696,2619.2,143.79,4.16385,1.43448,2312.36
240,50,50,-8364.33,7751.38,55.9114,4.1637,1.63662,2316.14
241,50,50,929.646,8723.65,43.9527,4.16348,1.64234,2312.91
242,50,50,8334.84,5534.3,1.35382,4.16341,1.94221,2312.91
243,50,50,1133.45,-4864.99,175.204,4.16408,1.41554,2312.91
244,50,50,-1326.79,-5442.24,109.235,4.16364,1.41738,2313.85
245,50,50,-6383.11,-7602.5,11.2994,4.16302,2.08123,2523.76
246,50,50,3387.26,-5962.77,45.9116,4.16354,2.245,2317.7
247,50,50,-1128.4,-1438.33,42.398,4.16322,1.41461,2312.91
248,50,50,8061.42,-9.14544,1.15073,4.99743,1.20001,2640.99
249,50,50,-8691.62,-5962.6,31.4382,4.16343,2.04395,2312.91
250,50,50,-8783.19,7443.31,142.226,4.16401,1.95422,2316.43
251,50,50,-3985.77,-4294.11,79.1536,4.16366,2.06803,2312.91
252,50,50,2503.18,3833.35,114.046,4.16339,1.41814,2315.94
253,50,50,3704.61,5661.83,57.9905,4.164,1.41784,2315.3
254,50,50,5141.35,63.5769,15.2377,4.16312,1.41796,2315.33
255,50,50,1234.82,4576.37,5.94271,4.99778,2.49313,2798.97
256,50,50,5325.74,2930.1,74.7695,4.1636,1.79398,2312.91
257,50,50,-1615.44,613.88,2.30372,4.16445,1.41936,2319.87
258,50,50,1207.24,-8719.45,81.3542,4.16385,2.21293,2681.67
259,50,50,5304.46,-1128.62,14.8011,4.16376,1.56104,2315.32
260,50,50,-4447.38,-6347.56,8.41035,4.16375,2.78854,2315.08
261,50,50,4290.47,-1278.16,119.013,4.16386,1.41665,2311.82
262,50,50,-1095.65,-9390.21,0.287611,4.1643,2.0344,2655.32
263,50,50,-4304.24,-8070.52,12.7149,4.16366,1.8121,2315.61
