runID,eventID,thickness_um,edep_keV,light_yield_photons,has_capture,bn_wt,zns_wt,source_x_um,source_y_um,capture_x_um,capture_y_um,depth_um
0,2090,100,2312.91,115645,1,50,50,-9215.75,4989.63,-9215.75,4989.63,69.4956
0,2091,100,2312.91,115645,1,50,50,514.988,5443.41,514.988,5443.41,10.7962
0,2092,100,2312.91,115645,1,50,50,4580.67,-9007.4,4580.67,-9007.4,31.3167
0,2094,100,2315.96,115798,1,50,50,1812.06,1267.49,1812.06,1267.49,23.1333
0,2097,100,2327.31,116366,1,50,50,-6556.23,8624.68,-6556.23,8624.68,26.5311
0,2098,100,2312.9,115645,1,50,50,-3416.78,939.189,-3416.78,939.189,18.1774
0,2099,100,2318.7,115935,1,50,50,8786.5,-9451.84,8786.5,-9451.84,1.35177
0,2100,100,2319.52,115976,1,50,50,-4345.84,6521.48,-4345.84,6521.48,37.945
0,2101,100,2313.5,115675,1,50,50,6792.81,6515.72,6792.81,6515.72,57.4824
0,2102,100,2314.08,115704,1,50,50,7251.68,4202.11,7251.68,4202.11,65.5901
0,2105,100,2316.77,115839,1,50,50,-8207.75,1829.76,-8207.75,1829.76,12.6418
0,2107,100,2319.71,115986,1,50,50,-1969.45,2918.94,-1969.45,2918.94,56.241
0,2109,100,2311.27,115564,1,50,50,703.642,-1948.71,703.642,-1948.71,51.8941
0,2110,100,2311.69,115584,1,50,50,-537.193,364.465,-537.193,364.465,57.4563
0,2111,100,2314.39,115720,1,50,50,7428.64,-6312.62,7428.64,-6312.62,59.9508
0,2112,100,2790.12,139506,1,50,50,8584.69,2021.87,8584.69,2021.87,62.9591
0,2113,100,2312.91,115645,1,50,50,9634.88,-5045.77,9634.88,-5045.77,74.3253
0,2115,100,2312.91,115645,1,50,50,-2121.93,8778.05,-2121.93,8778.05,31.7488
0,2116,100,2312.91,115645,1,50,50,3111.82,-9004.07,3111.82,-9004.07,70.2665
0,2119,100,2312.91,115645,1,50,50,9471.47,-3281.24,9471.47,-3281.24,10.7626
0,2120,100,2312.91,115645,1,50,50,-7206.05,-4292.16,-7206.05,-4292.16,51.2232
0,2122,100,2317.84,115892,1,50,50,-1407.79,-8414.04,-1407.79,-8414.04,4.36418
0,2123,100,2311.48,115574,1,50,50,-2294.14,-5284.41,-2294.14,-5284.41,83.7107
0,2125,100,2313.39,115670,1,50,50,5989.16,-1785.48,5989.16,-1785.48,11.2757
0,2126,100,2317.54,115877,1,50,50,-8637.13,-2584.93,-8637.13,-2584.93,23.8622
0,2127,100,2790.12,139506,1,50,50,1900.55,504.865,1900.55,504.865,28.0696
0,2128,100,2312.91,115645,1,50,50,5235.73,-7514.02,5235.73,-7514.02,46.985
0,2129,100,2315.34,115767,1,50,50,-3183.34,-2079.12,-3183.34,-2079.12,12.8639
0,2131,100,2317.68,115884,1,50,50,7365.48,-7514.21,7365.48,-7514.21,4.76165
0,2132,100,2316.72,115836,1,50,50,-5398.89,-9704.53,-5398.89,-9704.53,33.0921
0,2133,100,2312.34,115617,1,50,50,-6290.84,9069.43,-6290.84,9069.43,37.8502
0,2134,100,2312.43,115621,1,50,50,-1761.55,5459.41,-1761.55,5459.41,14.1462
0,2135,100,2319.69,115985,1,50,50,-1910.81,-3496.32,-1910.81,-3496.32,17.8595
0,2136,100,2315.84,115792,1,50,50,-2263.07,1704.66,-2263.07,1704.66,73.5983
0,2139,100,2312.76,115638,1,50,50,-8723.82,-4702.64,-8723.82,-4702.64,21.8583
0,2140,100,2317.45,115873,1,50,50,-7238.15,-9461.53,-7238.15,-9461.53,91.6386
0,2141,100,2312.91,115645,1,50,50,9079.69,-3096.22,9079.69,-3096.22,10.424
0,2142,100,2309.21,115460,1,50,50,5402.86,5826.95,5402.86,5826.95,3.71891
0,2143,100,2312.91,115645,1,50,50,5824.32,-463.279,5824.32,-463.279,16.6316
0,2144,100,2317.78,115889,1,50,50,-6750.27,-5146.58,-6750.27,-5146.58,52.2671
0,2145,100,2319.41,115970,1,50,50,8475.71,-6239.5,8475.71,-6239.5,31.6391
0,2146,100,2319.19,115960,1,50,50,1271.75,8136.15,1271.75,8136.15,91.1601
0,2147,100,2312.91,115645,1,50,50,-9275.56,-6437.65,-9275.56,-6437.65,74.8034
0,2148,100,2317.81,115890,1,50,50,-8705.4,4864.89,-8705.4,4864.89,58.9432
0,2149,100,2790.12,139506,1,50,50,4759.57,8618.91,4759.57,8618.91,33.5622
0,2150,100,2311.69,115584,1,50,50,-4213.98,-1543.93,-4213.98,-1543.93,21.6028
0,2152,100,1259.44,62972.2,1,50,50,-7560.84,723.207,-7560.84,723.207,99.4582
0,2153,100,2314.15,115708,1,50,50,5180.38,-4695.12,5180.38,-4695.12,17.2798
0,2154,100,2312.91,115645,1,50,50,5999,-6323.33,5999,-6323.33,27.489
0,2155,100,2315.09,115754,1,50,50,-9280.36,8860.71,-9280.36,8860.71,78.8165
0,2156,100,2313.64,115682,1,50,50,8346.83,-7701.92,8346.83,-7701.92,15.4625
0,2157,100,2312.91,115645,1,50,50,4799.56,-2738.06,4799.56,-2738.06,41.4625
0,2158,100,2313.53,115677,1,50,50,-3353.2,-2971.87,-3353.2,-2971.87,27.4013
0,2159,100,2318.26,115913,1,50,50,910.806,-4954.4,910.806,-4954.4,17.3907
0,2161,100,2312.91,115645,1,50,50,3745.76,655.228,3745.76,655.228,9.09394
0,2162,100,2316.02,115801,1,50,50,9324.82,4405.92,9324.82,4405.92,74.66
0,2163,100,2317.15,115857,1,50,50,-567.717,-8981.04,-567.717,-8981.04,39.043
0,2164,100,2314.92,115746,1,50,50,-278.071,9706.3,-278.071,9706.3,42.7722
0,2165,100,2312.91,115645,1,50,50,-5153.68,-9181.62,-5153.68,-9181.62,66.815
0,2166,100,2312.91,115645,1,50,50,-6604.91,-108.265,-6604.91,-108.265,25.593
0,2167,100,2313.62,115681,1,50,50,-5095.79,-7195.58,-5095.79,-7195.58,6.81885
0,2168,100,2312.91,115645,1,50,50,-7342.45,3831.22,-7342.45,3831.22,28.8035
0,2169,100,2310.64,115532,1,50,50,-8123.89,-2976.88,-8123.89,-2976.88,4.38294
0,2170,100,2318.21,115910,1,50,50,9034.89,5065.87,9034.89,5065.87,21.9909
0,2171,100,2312.91,115645,1,50,50,9038.55,760.42,9038.55,760.42,97.5959
0,2172,100,2318.87,115943,1,50,50,-1850.08,-7133.02,-1850.08,-7133.02,43.8823
0,2174,100,2312.9,115645,1,50,50,9009.53,-1263.4,9009.53,-1263.4,18.5546
0,2176,100,2313.93,115696,1,50,50,3272.43,7843.41,3272.43,7843.41,3.74165
0,2177,100,2312.91,115645,1,50,50,-1947.92,6068.97,-1947.92,6068.97,14.7987
0,2178,100,2319.54,115977,1,50,50,9026.49,6001.1,9026.49,6001.1,23.3856
0,2179,100,2312.91,115645,1,50,50,-1615.52,985.854,-1615.52,985.854,8.00023
0,2180,100,2317.16,115858,1,50,50,6123.89,-8717.08,6123.89,-8717.08,34.2975
0,2181,100,2311.33,115567,1,50,50,-5883.36,-4118.24,-5883.36,-4118.24,40.8852
0,2183,100,2316.76,115838,1,50,50,1649.8,5344.04,1649.8,5344.04,51.0492
0,2184,100,2312.91,115645,1,50,50,-9227.04,8117.49,-9227.04,8117.49,70.2738
0,2185,100,2316.58,115829,1,50,50,-4099.85,1828.95,-4099.85,1828.95,21.1901
0,2186,100,2312.91,115645,1,50,50,1346.32,-9830.77,1346.32,-9830.77,8.08453
0,2187,100,2316.37,115818,1,50,50,-7971.38,8187.09,-7971.38,8187.09,21.8672
0,2188,100,2319.79,115990,1,50,50,-9879.71,-3643.83,-9879.71,-3643.83,30.242
0,2190,100,2312.9,115645,1,50,50,-3536.46,1311.77,-3536.46,1311.77,75.048
0,2191,100,2318.94,115947,1,50,50,-1033.38,5765.94,-1033.38,5765.94,23.009
0,2192,100,2312.91,115645,1,50,50,3738.42,-1606.81,3738.42,-1606.81,78.5516
0,2193,100,2312.9,115645,1,50,50,8876.15,-117.167,8876.15,-117.167,17.4798
0,2194,100,2318.75,115937,1,50,50,-4102.9,126.22,-4102.9,126.22,93.0876
0,2195,100,2319.71,115986,1,50,50,-3005.05,8200.43,-3005.05,8200.43,15.1469
0,2196,100,2312.91,115645,1,50,50,3685.7,9617.15,3685.7,9617.15,25.7058
0,2197,100,2311.64,115582,1,50,50,-9275.69,-8911.05,-9275.69,-8911.05,9.7758
0,2198,100,2312.91,115645,1,50,50,-7399.2,-1998.04,-7399.2,-1998.04,60.2964
0,2199,100,2310.91,115545,1,50,50,-1142.78,8665.02,-1142.78,8665.02,60.3228
0,2202,100,2312.91,115645,1,50,50,-4452.36,5506.31,-4452.36,5506.31,62.0764
0,2203,100,2312.9,115645,1,50,50,-939.445,-8817.45,-939.445,-8817.45,19.2828
0,2204,100,2318.67,115934,1,50,50,-7379.36,4023.5,-7379.36,4023.5,35.2825
0,2207,100,2312.91,115645,1,50,50,7936.98,-7718.46,7936.98,-7718.46,28.3881
0,2208,100,2790.12,139506,1,50,50,-3808.84,9676.44,-3808.84,9676.44,26.3946
0,2210,100,2316.76,115838,1,50,50,8216.49,-512.611,8216.49,-512.611,6.41823
0,2211,100,2315.43,115771,1,50,50,8086.21,-845.196,8086.21,-845.196,41.0719
0,2213,100,2317.69,115885,1,50,50,87.4544,-5197.24,87.4544,-5197.24,48.6031
0,2214,100,2790.12,139506,1,50,50,8835.61,2554.09,8835.61,2554.09,18.2223
0,2215,100,2312.91,115645,1,50,50,-9662.27,7041.86,-9662.27,7041.86,26.4978
0,2216,100,2312.91,115645,1,50,50,-2356.94,-3405.03,-2356.94,-3405.03,57.9148
0,2218,100,2312.9,115645,1,50,50,4816.09,-205.492,4816.09,-205.492,47.37
0,2219,100,2319.75,115987,1,50,50,6827.26,8392.14,6827.26,8392.14,10.4826
0,2223,100,2312.91,115645,1,50,50,7705.57,7865.07,7705.57,7865.07,83.8371
0,2224,100,2312.91,115645,1,50,50,-1550.22,6134.7,-1550.22,6134.7,85.9116
0,2225,100,2318.54,115927,1,50,50,-8520.29,9093.14,-8520.29,9093.14,13.7991
0,2226,100,2319.46,115973,1,50,50,9166.79,345.45,9166.79,345.45,11.8514
0,2227,100,1960.15,98007.7,1,50,50,-7310.23,-4507.91,-7310.23,-4507.91,2.12245
0,2228,100,2314.5,115725,1,50,50,-9345.85,-8823.96,-9345.85,-8823.96,14.0072
0,2230,100,2314.6,115730,1,50,50,8854.69,7807.55,8854.69,7807.55,79.477
0,2231,100,2312.91,115645,1,50,50,2129.78,1202.98,2129.78,1202.98,10.1016
0,2233,100,2316.27,115813,1,50,50,-9391.1,2841.82,-9391.1,2841.82,89.0016
0,2235,100,1240.76,62038,1,50,50,-2549.45,-197.975,-2549.45,-197.975,0.529492
0,2236,100,2311.49,115575,1,50,50,-5718.63,8724.34,-5718.63,8724.34,27.6548
0,2237,100,2318.53,115927,1,50,50,9804.44,4801.72,9804.44,4801.72,33.8722
0,2239,100,2292.64,114632,1,50,50,8664.77,-4952.82,8664.77,-4952.82,97.4112
0,2240,100,2312.91,115645,1,50,50,-3802.49,-7151.48,-3802.49,-7151.48,21.1208
0,2241,100,2312.96,115648,1,50,50,1953.96,5300.28,1953.96,5300.28,4.58112
0,2242,100,1625.66,81283,1,50,50,-4556.17,-5387.48,-4556.17,-5387.48,98.6106
0,2243,100,2316.87,115843,1,50,50,6368.02,-8782.08,6368.02,-8782.08,11.3741
0,2244,100,2314.29,115715,1,50,50,9527.8,4763.88,9527.8,4763.88,18.6913
0,2246,100,2314.18,115709,1,50,50,5741.57,-8434.83,5741.57,-8434.83,38.6889
0,2247,100,2315.97,115799,1,50,50,6098.62,4320.87,6098.62,4320.87,67.9017
0,2248,100,2314.2,115710,1,50,50,-7711.83,8575.04,-7711.83,8575.04,53.7446
0,2250,100,2790.12,139506,1,50,50,-9402.72,3742.22,-9402.72,3742.22,85.0593
0,2251,100,2317.76,115888,1,50,50,-1960.44,9312.93,-1960.44,9312.93,61.197
0,2252,100,2312.91,115645,1,50,50,5294.07,6553.97,5294.07,6553.97,23.0638
0,2253,100,2309.47,115473,1,50,50,-5619.91,5196.76,-5619.91,5196.76,1.60507
0,2254,100,2312.91,115645,1,50,50,-1504.12,-617.142,-1504.12,-617.142,13.2363
0,2255,100,2314.23,115712,1,50,50,3200.73,1576.15,3200.73,1576.15,87.9341
0,2256,100,2322.12,116106,1,50,50,-6997.61,-1182,-6997.61,-1182,11.0427
0,2257,100,2317.47,115873,1,50,50,-6800.99,2855.3,-6800.99,2855.3,14.9412
0,2258,100,2312.91,115645,1,50,50,-603.167,-1652.28,-603.167,-1652.28,52.0549
0,2259,100,2312.29,115614,1,50,50,9379.45,-8157.72,9379.45,-8157.72,57.4547
0,2260,100,2313.21,115660,1,50,50,-843.918,-5191.12,-843.918,-5191.12,59.0164
0,2261,100,2311.22,115561,1,50,50,-7214.02,9122.58,-7214.02,9122.58,34.4069
0,2262,100,2312.9,115645,1,50,50,5275.62,-1855.52,5275.62,-1855.52,67.4936
0,2263,100,2317.45,115873,1,50,50,-7969.92,-8460.54,-7969.92,-8460.54,18.5568
0,2265,100,2313.76,115688,1,50,50,-6154.35,7625.87,-6154.35,7625.87,10.4963
0,2266,100,2315.45,115772,1,50,50,-5085.15,-2893.74,-5085.15,-2893.74,6.76766
0,2267,100,2312.91,115645,1,50,50,-7451.1,5535.61,-7451.1,5535.61,71.2438
0,2269,100,2313.1,115655,1,50,50,-7728.64,1295.21,-7728.64,1295.21,60.4701
0,2270,100,2314.41,115720,1,50,50,351.159,-5166.01,351.159,-5166.01,84.5846
0,2271,100,2315.77,115788,1,50,50,-7246.25,5194.61,-7246.25,5194.61,12.2093
0,2272,100,2312.91,115645,1,50,50,-3250.78,-9655.28,-3250.78,-9655.28,19.5531
0,2274,100,2308.95,115447,1,50,50,723.478,-2450.23,723.478,-2450.23,71.0492
0,2275,100,2319.21,115960,1,50,50,-3748.77,-8350.35,-3748.77,-8350.35,60.826
0,2276,100,2315.45,115773,1,50,50,-2742.11,5250.38,-2742.11,5250.38,57.1718
0,2277,100,2312.91,115645,1,50,50,-8401.67,5758.95,-8401.67,5758.95,60.6118
