runID,eventID,trackID,stepID,particle,bn_wt,zns_wt,thickness_um,capture_x_um,capture_y_um,capture_z_um,capture_depth_um,x_mid_um,y_mid_um,z_mid_um,depth_mid_um,step_len_um,edep_keV,ekin_pre_keV,ekin_post_keV
0,2854,2,1,alpha,50,50,100,-372.54,-7339.25,34.3485,15.6515,-370.817,-7340.39,33.8842,16.1158,4.2509,1472.65,1472.65,0
0,2856,4,1,Li7,50,50,100,-284.694,9283.63,36.9006,13.0994,-284.299,9284.22,36.8778,13.1222,1.43079,838.208,838.208,0
0,2856,2,1,alpha,50,50,100,-284.694,9283.63,36.9006,13.0994,-285.878,9281.87,36.9699,13.0301,4.24967,1472.19,1472.19,0
0,2860,4,1,Li7,50,50,100,2867.13,7877.12,-33.0665,83.0665,2866.76,7876.71,-32.6151,82.6151,1.42972,835.091,835.091,0
0,2860,2,1,alpha,50,50,100,2867.13,7877.12,-33.0665,83.0665,2868.23,7878.32,-34.4164,84.4164,4.25031,1472.43,1472.43,0
0,2861,4,1,Li7,50,50,100,-8356.6,1241.59,41.4983,8.50173,-8356.9,1241.8,40.8873,9.11274,1.43086,838.419,838.419,0
0,2861,2,1,alpha,50,50,100,-8356.6,1241.59,41.4983,8.50173,-8355.7,1240.98,43.314,6.68604,4.24941,1472.09,1472.09,0
0,2863,3,1,Li7,50,50,100,4622.51,8933.81,10.9186,39.0814,4622.53,8933.68,10.188,39.812,1.48868,881.938,1013.77,131.832
0,2863,3,2,Li7,50,50,100,4622.51,8933.81,10.9186,39.0814,4622.44,8933.47,9.06267,40.9373,0.956087,131.832,131.832,0
0,2863,2,1,alpha,50,50,100,4622.51,8933.81,10.9186,39.0814,4622.45,8934.24,13.4244,36.5756,5.10051,1776.35,1776.35,0
0,2864,4,1,Li7,50,50,100,9439.12,-1105.31,32.4532,17.5468,9439.15,-1105.81,32.958,17.042,1.4331,686.499,844.965,158.466
0,2864,4,2,Li7,50,50,100,9439.12,-1105.31,32.4532,17.5468,9439.12,-1106.55,33.8463,16.1537,1.00784,133.853,158.466,24.6127
0,2864,4,3,Li7,50,50,100,9439.12,-1105.31,32.4532,17.5468,9439.05,-1106.84,34.3075,15.6925,0.420737,24.6127,24.6127,0
0,2864,2,1,alpha,50,50,100,9439.12,-1105.31,32.4532,17.5468,9439.04,-1103.82,30.9505,19.0495,4.24973,1472.21,1472.21,0
0,2865,3,1,Li7,50,50,100,-2781.98,8359.35,17.2597,32.7403,-2781.75,8359.86,17.7521,32.2479,1.48861,925.08,1013.54,88.464
0,2865,3,2,Li7,50,50,100,-2781.98,8359.35,17.2597,32.7403,-2781.43,8360.63,18.3977,31.6023,0.798362,88.464,88.464,0
0,2865,2,1,alpha,50,50,100,-2781.98,8359.35,17.2597,32.7403,-2782.78,8357.62,15.5704,34.4296,5.10117,1776.57,1776.57,0
0,2866,4,1,Li7,50,50,100,6207.16,-4855.61,25.2213,24.7787,6207.19,-4855.28,24.5895,25.4105,1.43035,836.947,836.947,0
0,2866,2,1,alpha,50,50,100,6207.16,-4855.61,25.2213,24.7787,6207.1,-4856.57,27.1056,22.8944,4.25077,1472.61,1472.61,0
0,2868,4,1,Li7,50,50,100,-3633.36,-6886.63,40.2991,9.70091,-3633.58,-6886.06,40.6652,9.33482,1.43125,770.599,839.547,68.9479
0,2868,4,2,Li7,50,50,100,-3633.36,-6886.63,40.2991,9.70091,-3633.86,-6885.27,41.1531,8.84692,0.704179,68.9479,68.9479,0
0,2868,2,1,alpha,50,50,100,-3633.36,-6886.63,40.2991,9.70091,-3632.69,-6888.32,39.2008,10.7992,4.25047,1472.49,1472.49,0
0,2869,4,1,Li7,50,50,100,-8990.01,-78.6217,4.01158,45.9884,-8989.41,-78.5693,4.3939,45.6061,1.42911,833.325,833.325,0
0,2869,2,1,alpha,50,50,100,-8990.01,-78.6217,4.01158,45.9884,-8991.79,-78.7735,2.87109,47.1289,4.2503,1472.43,1472.43,0
